"{'Over-cite Count': 'No PDF Found', 'Citing Paper Number': 30, 'Title': 'Oblivious routing in wireless mesh networks'}"
Citing Paper Number,Paper Title,Over-cite Count
1,Vehicle authentication via monolithically certified public key and attributes,28
2,SEPFL routing protocol based on fuzzy logic control to extend the lifetime and throughput of the wireless sensor network,4
3, An improved multipath MANET routing using link estimation and swarm intelligence,No PDF Found
4,ACWSN: an adaptive cross layer framework for video transmission over wireless sensor networks,2
5,Anycast tree-based routing in mobile wireless sensor networks with multiple sinks,25
6,An overview of performance trade-off mechanisms in routing protocol for green wireless sensor networks,26
7,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
8,Fuzzy approach to improving route stability of the AODV routing protocol,No PDF Found
9, A beacon transmission power control algorithm based on wireless channel load forecasting in VANETs,No PDF Found
10,Energy harvesting and battery power based routing in wireless sensor networks,29
11,Joint optimization and threshold structure dynamic programming with enhanced priority scheme for adaptive VANET MAC,27
12,Load balancing ad hoc on-demand multipath distance vector (LBAOMDV) routing protocol,No PDF Found
13,Modeling and simulating traffic congestion propagation in connected vehicles driven by temporal and spatial preference,29
14, On-site configuration of disaster recovery access networks made easy,10
15,A novel multi metric QoS routing protocol for MANET,No PDF Found
16,HierHybNET: Cut-set upper bound of ad hoc networks with cost-effective infrastructure,15
17,RVCloud: a routing protocol for vehicular ad hoc network in city environment using cloud computing,27
18,QoE-based routing algorithms for H. 264/SVC video over ad-hoc networks,No PDF Found
19,HCOR: a high-throughput coding-aware opportunistic routing for inter-flow network coding in wireless mesh networks,No PDF Found
20,Low communication cost (LCC) scheme for localizing mobile wireless sensor networks,No PDF Found
21,Sharing spray and wait routing algorithm in opportunistic networks,No PDF Found
22,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks,No PDF Found
23,Cross-layer based congestion detection and routing protocol using fuzzy logic for MANET,No PDF Found
24, SECURED TRANSMISSION OF DATA IN MOBILE WIRELESS SENSOR NETWORKS,0
25, Preset delay broadcast: a protocol for fast information dissemination in vehicular ad hoc networks (VANETs),No PDF Found
26,Ant-based routing and QoS-effective data collection for mobile wireless sensor network,No PDF Found
27,Capacity of large hybrid erasure networks with random node distribution,No PDF Found
28, Evaluation and analysis of an enhanced hybrid wireless mesh protocol for vehicular ad hoc network,No PDF Found
29,Group Key Authentication scheme for Vanet INtrusion detection (GKAVIN),No PDF Found
,Total,222
"
"
