Journal,Total Citing Papers from Journal
Wireless Networks,396
Sensors,32
Information Sciences,23
Computer Networks,17
Ieee Systems Journal,13
Multimedia Tools And Applications,12
Artificial Intelligence Review,12
Plos One,11
Journal Of Sensors,10
2014,10
Mobile Networks And Applications,10
Ad Hoc Networks,10
Journal Of Network And Computer Applications,8
Iet Communications,8
Soft Computing,8
Ieee Access,7
Ieee Transactions On Cybernetics,7
2015,7
Telecommunication Systems,7
Ieee Network,6
Knowledge-Based Systems,6
Computer Communications,5
Wireless Personal Communications,5
Journal Of Sensor And Actuator Networks,4
Ieee Sensors Journal,4
Advances In Computing,4
Iet Networks,4
Infocom,4
Ieee Communications Surveys & Tutorials,3
Nano Communication Networks,3
2013,3
Ieee Communications Letters,3
Int. J. Smart Sens. Intell. Syst,3
Ieee Transactions On Fuzzy Systems,3
The Journal Of Supercomputing,3
Computers & Electrical Engineering,3
Computing,3
Ieee Transactions On Systems,3
Ieee Internet Of Things Journal,3
Applied Soft Computing,2
Tiis,2
Pervasive And Mobile Computing,2
Aaai,2
Iet Wireless Sensor Systems,2
China Communications,2
Procedia Computer Science,2
International Journal Of Control,2
Ieee Wireless Communications,2
Renewable And Sustainable Energy Reviews,2
Information Fusion,2
2010,2
Journal Of Communications,2
Granular Computing,2
Ieee Transactions On Nanotechnology,2
2012,2
Expert Systems With Applications,2
Fuzzy Sets And Systems,2
Microprocessors And Microsystems,2
Egyptian Computer Science Journal,2
2016,2
Ieee Communications Magazine,1
Information & Management,1
Sensors & Transducers,1
Commun. Special Issue On Ad-Hoc Netw,1
Image And Graphics (Icig),1
Journal Of Software,1
Pattern Recognition,1
Wimob,1
Grc,1
Systems,1
Ieice Transactions On Communications,1
International Journal Of Approximate Reasoning,1
Ciit,1
International Journal Of Distributed Sensor Networks,1
Ieee Transactions On Computers,1
Mobile Cloud Computing,1
2007,1
Sensor,1
Routing In Opportunistic Networks,1
Journal Of Shanghai University (English Edition),1
International Journal Of Remote Sensing,1
Advances In Unconventional Computing,1
Fuzzy Systems (Fuzz),1
Arxiv Preprint Arxiv:1510.03947,1
Multimedia Systems,1
Vehicular Communications,1
Tsinghua Science And Technology,1
Advance Computing Conference (Iacc),1
Arxiv Preprint Arxiv:1411.1821,1
Gait & Posture,1
Researchgate.Net,1
Acta Polytechnica Hungarica,1
Advances In Information Sciences & Service Sciences,1
Ieee Journal On Selected Areas In Communications,1
Arxiv Preprint Arxiv:1501.01323,1
Ieee/Acm Transactions On Networking (Ton),1
Journal Of Medical Systems,1
Journal Of Systems Architecture,1
Wireless Days (Wd),1
International Journal Of Intelligent Systems,1
Ijcttjournal.Org,1
Iet Signal Processing,1
Wcsp,1
International Journal Of Communication Systems,1
Physical Communication,1
Canadian Conference On Artificial Intelligence,1
Control,1
Sensor Letters,1
Future Wireless Networks And Information Systems,1
Arxiv Preprint Arxiv:1406.1867,1
Arxiv Preprint Arxiv:1209.5598,1
Int J Comput Inf Syst Control Eng,1
Physics Of Life Reviews,1
Ksii Trans Internet Inf Syst,1
Procedia Engineering,1
Ieee Transactions On Broadcasting,1
Computers In Human Behavior,1
Computers & Mathematics With Applications,1
Cluster Computing,1
Jdcta,1
Signal Processing,1
Neurocomputing,1
Web Information Systems And Mining (Wism),1
Mathematical Problems In Engineering,1
The Scientific World Journal,1
Comput. Sci. Inf. Syst.,1
Arxiv Preprint Arxiv:1102.2608,1
Journal Of Systems And Software,1
Simulation Modelling Practice And Theory,1
Arxiv Preprint Arxiv:1308.3559,1
Cloud Computing (Cloud),1
Nonlinear Dynamics,1
Advanced Materials Research,1
2011,1
Ieice Transactions On Information And Systems,1
Wireless Sensor Network,1
Journal Of Computing Science And Engineering,1
Archives Of Control Science,1
Physica A: Statistical Mechanics And Its Applications,1
Applied Mathematics And Computation,1
